movie_id,trailer_id
tt0111161,vi3877612057
tt0068646,vi1348706585
tt0468569,vi324468761
tt0071562,vi696162841
tt0050083,vi2924462873
tt0108052,vi1158527769
tt0167260,vi718127897
tt0110912,vi2620371481
tt0120737,vi684573465
tt0060196,vi3416964889
tt0109830,vi3567517977
tt0137523,vi781228825
tt1375666,vi2959588889
tt0167261,vi701350681
tt0080684,vi221753881
tt0133093,vi1032782617
tt0099685,vi2673654553
tt0073486,vi3943282969
tt0114369,vi2508831257
tt0047478,vi2923348761
tt0038650,vi1101988121
tt0102926,vi3377380121
tt0317248,vi1783208985
tt0120815,vi1701906201
tt0118799,vi2332801561
tt0120689,vi552796441
tt0816692,vi1586278169
tt0076759,vi1317709849
tt0103064,vi2748889369
tt0088763,vi252380953
tt0245429,vi3619684633
tt0054215,vi607099161
tt0253474,vi988938521
tt0110413,vi2744254745
tt6751668,vi1015463705
tt0110357,vi3764362265
tt0172495,vi2628367897
tt0120586,vi854001177
tt0114814,vi2717188377
tt0407887,vi2760573209
tt0482571,vi2885334553
tt0034583,vi6095897
tt2582802,vi4006456345
tt1675434,vi59285529
tt0056058,NotFoundTrailer_id
tt0027977,vi1756676633
tt1745960,vi632472089
tt0095327,vi1377679385
tt0064116,vi239075865
tt0047396,vi1947451929
tt0078748,vi1497801241
tt0021749,vi655475225
tt0095765,vi2800655897
tt0209144,vi3220356889
tt0078788,vi3543773721
tt0082971,vi3747396377
tt1853728,vi2291574553
tt0910970,vi2192703769
tt0405094,vi655475225
tt0043014,vi2388460569
tt0050825,vi763627801
tt0081505,vi2689121305
tt0032553,vi3851590681
tt0051201,vi421183001
tt4154756,vi528070681
tt0090605,vi368744473
tt0169547,vi788506137
tt0057012,vi3726294553
tt4633694,vi1489877529
tt1345836,vi144884505
tt0364569,vi3130917145
tt7286456,vi1723318041
tt0086879,vi2535496985
tt0112573,vi2874063641
tt0114709,vi2052129305
tt2380307,vi4249729305
tt0082096,vi4153458201
tt0361748,vi3738173977
tt0119698,vi2563293465
tt4154796,vi2163260441
tt0087843,vi2777395225
tt0119217,vi1281211929
tt0435761,vi3676898329
tt0180093,vi2156069145
tt5311514,vi1705097753
tt0045152,vi2086470681
tt1187043,vi3086596889
tt0086190,vi1702936345
tt0062622,vi2674767897
tt0338013,vi2292515097
tt0105236,vi3028484377
tt0057565,vi2921184793
tt8267604,vi1667873305
tt0033467,vi568630553
tt0056172,vi2095825433
tt2106476,vi2244519449
tt0022100,vi605863449
tt0053125,vi473956889
tt0052357,vi216072473
tt0211915,vi1406515737
tt0091251,vi129958169
tt0066921,vi4030506521
tt0093058,vi3225663513
tt0036775,vi2244780569
tt0053604,vi1746125337
tt0086250,vi3939802137
tt0044741,vi626900505
tt0070735,vi2717122841
tt0056592,vi1222941977
tt0075314,vi474987289
tt1049413,vi2557280793
tt0119488,vi1124073497
tt0113277,vi664516889
tt0017136,vi1050609177
tt1832382,vi2758057497
tt1255953,vi722049561
tt0095016,vi3895704089
tt0208092,vi1558577433
tt8503618,vi3591880217
tt0097576,vi2007669529
tt0040522,vi36354073
tt8579674,vi4095655705
tt0986264,vi1834943001
tt0363163,NotFoundTrailer_id
tt0059578,vi3969303065
tt0372784,vi362988313
tt5074352,vi2094904857
tt0012349,vi655475225
tt0053291,vi2371683353
tt10872600,vi3348546073
tt0042192,vi2863989017
tt10272386,vi279101721
tt6966692,vi824752921
tt0993846,vi2312218649
tt0055031,vi296224025
tt0089881,vi3567629593
tt0105695,vi3445406489
tt0112641,vi1035796761
tt0457430,vi1876343321
tt0469494,vi1341980953
tt0167404,vi1906613529
tt0268978,vi1801239321
tt0120382,vi1878327577
tt0071853,vi3159408409
tt0055630,vi1889518105
tt0040897,vi567346201
tt1130884,vi4064281
tt0042876,vi240959001
tt0107290,vi177055257
tt0057115,vi1687470617
tt0266697,vi3102711321
tt0477348,vi145883417
tt0266543,vi2687214105
tt0080678,vi1763229209
tt0071315,vi1220411673
tt0081398,vi3633616921
tt0031381,vi581873433
tt6710474,vi1708573209
tt0084787,vi2298151193
tt0434409,vi4276093209
tt2096673,vi203730969
tt0120735,vi2274558233
tt0046912,vi3634430233
tt1305806,vi100645401
tt0347149,vi3502817561
tt0050212,vi1900740633
tt5027774,vi3585980441
tt0117951,vi2148899865
tt1291584,vi339320089
tt1205489,vi517604121
tt0116282,vi2228618777
tt1392214,vi3294275865
tt0096283,vi3871916313
tt0405159,vi4217158425
tt0015864,vi70820889
tt0264464,vi1220346137
tt0083658,vi531759385
tt0047296,vi1817421337
tt0118849,vi2901319193
tt0041959,vi992655385
tt0052618,vi1269283609
tt2024544,vi302032921
tt0017925,vi534623769
tt0050986,NotFoundTrailer_id
tt0112471,vi2797142297
tt2267998,vi1298770969
tt1201607,vi128621593
tt0077416,vi3045785881
tt0107207,NotFoundTrailer_id
tt2278388,vi1157933593
tt0031679,vi1789722905
tt0046268,vi508608281
tt0072684,vi247005465
tt0015324,vi2465709081
tt0353969,vi3468476697
tt4729430,vi3213606681
tt2119532,vi2608248601
tt0050976,NotFoundTrailer_id
tt3170832,vi321566745
tt3011894,vi3112877081
tt1392190,vi3047862297
tt0118715,vi4018733337
tt0892769,vi1158218777
tt0978762,vi784205081
tt0198781,vi518890521
tt0073195,vi4242122009
tt0019254,vi2052570137
tt0046438,vi2320022553
tt0097165,vi2309078553
tt0395169,vi2725822489
tt0075148,vi1537524249
tt0091763,vi212245529
tt1950186,vi1737539353
tt0048473,vi3114774553
tt0092005,vi2284829721
tt0088247,vi815316505
tt1895587,vi4025725465
tt1979320,vi1998301465
tt0074958,vi2333982233
tt0758758,vi1051656473
tt3315342,vi1946727961
tt0032138,vi2210441241
tt0382932,vi906147865
tt0107048,vi1957600025
tt0381681,vi2813919513
tt0070047,vi3987325721
tt0036868,vi730792217
tt0317705,vi2963250457
tt0035446,vi655475225
tt0032551,vi1686962457
tt0032976,vi110100761
tt0058946,vi1365680665
tt1028532,vi2296906777
tt0061512,vi3936093721
tt0245712,vi2171189785
tt0325980,vi2529559321
tt0113247,vi1231338009
tt0053198,vi3485646617
tt0060827,vi1884797977
tt0476735,NotFoundTrailer_id
tt0025316,vi3410886681
tt0079470,vi3075522329
tt0059742,vi1567600153
tt0071411,vi3516989721
tt4016934,vi3452614681
tt0083987,vi1044512793
tt0103639,vi677035801
tt1454029,vi809278745
tt15097216,vi713802521
tt0101414,vi1040490009
